NS1_ASFIS,NS1_Name,NS1_Scientific name,ASFIS_2022_Ref,JG Notes,ASFIS_2022 match,Catch_quantities_2021,Issue
FCP,Common carp,Cyprinus carpio,FCP,Exsiting species in NS1 questionnaire,Match,11918.673,FALSE
FCG,Grass carp(=White amur),Ctenopharyngodon idellus,#N/A,Exsiting species in NS1 questionnaire,No match/missing,584.949,FALSE
YCA,Beardless barb,Cyclocheilichthys apogon,YCA,Exsiting species in NS1 questionnaire,Match,484.034,FALSE
YCQ,Cyclocheilichthys armatus,Cyclocheilichthys armatus,YCQ,Exsiting species in NS1 questionnaire,Match,0,FALSE
HML,Hampala barb,Hampala macrolepidota,HML,Exsiting species in NS1 questionnaire,Match,3120.574,FALSE
LZF,Signal barb,Labiobarbus festivus,LZF,Exsiting species in NS1 questionnaire,Match,1319.244,FALSE
FCN,Nilem carp,Osteochilus hasselti,FCN,Exsiting species in NS1 questionnaire,Match,12820.174,FALSE
RSZ,Silver rasbora,Rasbora argyrotaenia,RSZ,Exsiting species in NS1 questionnaire,Match,11773.446,FALSE
TWY,Thynnichthys vaillanti,Thynnichthys vaillanti,TWY,Exsiting species in NS1 questionnaire,Match,3169.487,FALSE
TZD,Semah mahseer,Tor douronensis,TZD,Exsiting species in NS1 questionnaire,Match,1541.858,FALSE
BBR,Barbodes balleroides,Barbodes balleroides,BBR,Exsiting species in NS1 questionnaire,Match,1163.617,FALSE
FCH,Hoven's carp,Leptobarbus hoeveni,FCH,Exsiting species in NS1 questionnaire,Match,5252.241,FALSE
PUI,Spotted barb,Puntius binotatus,PUI,Exsiting species in NS1 questionnaire,Match,4825.526,FALSE
MCO,Long pectoral-fin minnow,Macrochirichthys macrochirus,MCO,Exsiting species in NS1 questionnaire,Match,37.053,FALSE
MZP,Mystacoleucus padangensis,Mystacoleucus padangensis,MZP,Exsiting species in NS1 questionnaire,Match,1114.735,FALSE
WPU,Puntioplites waandersi,Puntioplites waandersi,WPU,Exsiting species in NS1 questionnaire,Match,486.848,FALSE
PTG,Silver barb,Barbonymus gonionotus,PTG,Exsiting species in NS1 questionnaire,Match,17605.935,FALSE
BFS,Tinfoil barb,Barbonymus schwanenfeldii,BFS,Exsiting species in NS1 questionnaire,Match,6004.878,FALSE
FCY,Cyprinids nei,Cyprinidae,FCY,Exsiting species in NS1 questionnaire,Match,819.637,FALSE
BMW,Clown loach,Chromobotia macracanthus,BMW,Exsiting species in NS1 questionnaire,Match,10.601,FALSE
TLM,Mozambique tilapia,Oreochromis mossambicus,TLM,Exsiting species in NS1 questionnaire,Match,17699.771,FALSE
TLN,Nile tilapia,Oreochromis niloticus,TLN,Exsiting species in NS1 questionnaire,Match,49680.046,FALSE
OHB,Asian bonytongue,Scleropages formosus,OHB,Exsiting species in NS1 questionnaire,Match,0,FALSE
NCG,Giant featherback,Chitala lopis,NCG,Exsiting species in NS1 questionnaire,Match,3419.674,FALSE
CAG,Glass catfishes,Kryptopterus spp,CAG,Exsiting species in NS1 questionnaire,Match,19056.066,FALSE
OKB,Butter catfish,Ompok bimaculatus,OKB,Exsiting species in NS1 questionnaire,Match,8643.124,FALSE
MYN,Asian redtail catfish,Hemibagrus nemurus,MYN,Exsiting species in NS1 questionnaire,Match,22503.043,FALSE
BMZ,Mystus nigriceps,Mystus nigriceps,BMZ,Exsiting species in NS1 questionnaire,Match,5271.767,FALSE
CTO,Torpedo-shaped catfishes nei,Clarias spp,CTO,Exsiting species in NS1 questionnaire,Match,26266.733,FALSE
